brand,model,availableNow,range,rangeKm,rangeMi,batteryKwh,seats,awd,rapidCharge,segment,zeroTo100,topSpeed,efficiency,fastchargeSpeed,priceGbp,priceUsd
Volkswagen ,ID.3 Standard Range,FALSE,275 km,275 ,170.8770773,48,5,FALSE,TRUE,C,8.0 sec,160 km/h,16.4 kWh,260 km/h,22000,28412.12
Tesla ,Model 3 Long Range Dual Motor,TRUE,460 km,460 ,285.8307474,75,5,TRUE,TRUE,D,4.6 sec,233 km/h,15.8 kWh,960 km/h,47990,61977.1654
Tesla ,Cybertruck Tri Motor,TRUE,750 km,750 ,466.0283925,200,6,TRUE,TRUE,M,3.0 sec,210 km/h,26.7 kWh,710 km/h,68000,87819.28
MG ,ZS EV,TRUE,235 km,235 ,146.0222297,44.5,5,FALSE,TRUE,J,8.2 sec,140 km/h,18.9 kWh,270 km/h,21995,28405.6627
Tesla ,Model 3 Standard Range,FALSE,265 km,265 ,164.6633654,50,5,FALSE,TRUE,D,5.9 sec,210 km/h,15.1 kWh,500 km/h,34000,43909.64
Mercedes ,EQC 400 4MATIC,TRUE,360 km,360 ,223.6936284,85,5,TRUE,TRUE,J,5.1 sec,180 km/h,22.2 kWh,430 km/h,62140,80251.3244
Peugeot ,e-208 ,TRUE,295 km,295 ,183.3045011,50,5,FALSE,TRUE,B,8.1 sec,150 km/h,16.1 kWh,440 km/h,25050,32351.073
Volkswagen ,e-Golf ,TRUE,190 km,190 ,118.0605261,35.8,5,FALSE,TRUE,C,9.6 sec,150 km/h,16.8 kWh,220 km/h,27575,35612.0095
Volvo ,XC40 P8 AWD Recharge,FALSE,375 km,375 ,233.0141963,78,5,TRUE,TRUE,J,4.9 sec,180 km/h,20 kWh,470 km/h,50000,64573
Skoda ,Vision IV ,TRUE,450 km,450 ,279.6170355,83,4,TRUE,TRUE,J,5.9 sec,180 km/h,18.4 kWh,570 km/h,30000,38743.8
